environment,task_id,instruction,category,task_type
ai2thor,ai2thor03037,"The microwave is empty, but it's still on. Turn it off, and then open the microwave door.",Daily,Hybrid
ai2thor,ai2thor03038,"Please put the potato in the refrigerator, and then take the lettuce out of the refrigerator and put it on the counter.Remember to close the fridge.",Daily,Hybrid
ai2thor,ai2thor03040,I'm going to the kitchen to get something to eat. Please turn on the kitchen light and then pick up the apple.,Daily,Hybrid
ai2thor,ai2thor03041,"Please clean the pan and bowl for me, then turn off the light; I'm getting ready to leave.",Daily,Hybrid
ai2thor,ai2thor03042,I have washed the spoon and fork; please remove them from the sink and place them on the countertop.,Daily,Hybrid
ai2thor,ai2thor03043,The pencil on the table is broken; please throw it in the trash can.,Daily,Hybrid
ai2thor,ai2thor03044,I forgot to turn off the lights and close the refrigerator door when I left. Please close them.,Daily,Hybrid
ai2thor,ai2thor03045,"I need to wipe my mouth, please place the tissue roll on the table.",Daily,Hybrid
ai2thor,ai2thor03046,I'm going to make coffee. Please clean the mug and then put it in the coffee machine.,Daily,Hybrid
ai2thor,ai2thor03047,I want to eat a potato. Please put the potato in the pot and cook it.,Daily,Hybrid
ai2thor,ai2thor03049,This soap bottle is empty. Please throw it in the trash can.,Daily,Hybrid
ai2thor,ai2thor03050,I've washed the apple and lettuce; please take them from the sink to the countertop.,Daily,Hybrid
ai2thor,ai2thor03051,"Please slice the tomato in the refrigerator, put one slice in the pot, and remember to close the refrigerator door.",Daily,Hybrid
ai2thor,ai2thor03052,"I'm hungry. Please slice the potato, put a slice in the pan, and cook it.",Daily,Hybrid
ai2thor,ai2thor03053,I'm about to cook. Please put the potato and egg in the pan and remember to close the refrigerator door.,Daily,Hybrid
ai2thor,ai2thor03054,I'm outside the kitchen. Please bring the bread outside and turn off the kitchen lights.,Daily,Hybrid
ai2thor,ai2thor03056,I'm going to clean the kitchen now. Please take a soap bottle and wash the dirty things in front of you.,Daily,Hybrid
ai2thor,ai2thor03057,I don't want to eat the apple anymore. Please put it in the refrigerator and close the refrigerator door.,Daily,Hybrid
ai2thor,ai2thor03058,"I'm about to start cooking, please put the spatula into the pan.",Daily,Hybrid
ai2thor,ai2thor03059,I want to eat this potato. Please put the potato in the pan and cook it until it's done.,Daily,Hybrid
ai2thor,ai2thor03060,This egg is rotten; please throw it in the trash can.,Daily,Hybrid
ai2thor,ai2thor03061,I've washed this tomato. Please put it in the refrigerator and remember to close the door.,Daily,Hybrid
ai2thor,ai2thor03063,"I need to make the soup first. Please put the ladle into the pot, and then add water.",Daily,Hybrid
ai2thor,ai2thor03064,I forgot to turn off the coffee machine and the kitchen light. Go turn them off.,Daily,Hybrid
ai2thor,ai2thor03065,I'd like some coffee. Please put a clean mug into the coffee machine and turn it on so the mug is filled with coffee.,Daily,Hybrid
ai2thor,ai2thor03066,I put the dirty pot in the sink. Please wash it and then put it on the dining table.,Daily,Hybrid
ai2thor,ai2thor03067,This potato has been in the refrigerator for a long time. Please take it out and throw it in the trash. Remember to close the refrigerator door.,Daily,Hybrid
ai2thor,ai2thor03068,"I don't want to eat lettuce, I want to eat potato. Please put the lettuce in the refrigerator and take the potato out of the refrigerator and onto the counter.",Daily,Hybrid
ai2thor,ai2thor03069,I accidentally threw the lettuce in the trash can. Please take it out and put it on the table.,Daily,Hybrid
ai2thor,ai2thor03070,I've just entered the kitchen. Please turn on the kitchen light and put the potato I'm holding into the refrigerator. Remember to close the refrigerator door afterwards.,Daily,Hybrid
ai2thor,ai2thor03071,"I want to eat toast. Please slice the bread, put one slice on the toaster, and cook it.",Daily,Hybrid
ai2thor,ai2thor03072,I accidentally burned the bread slice in the toaster. Please help me put the bread slice from the toaster into the trash can.,Daily,Hybrid
ai2thor,ai2thor03073,I want to eat potatoes. Please put this potato on a plate and then put the plate in the microwave.,Daily,Hybrid
ai2thor,ai2thor03074,"I want to eat an egg, not bread. Please put the bread in the refrigerator and take the egg.",Daily,Hybrid
ai2thor,ai2thor03075,Please help me throw the apple into the trash can and turn on my phone.,Daily,Hybrid
ai2thor,ai2thor03076,I've washed all the dishes in the sink; please take them out and put them on the counter.,Daily,Hybrid
ai2thor,ai2thor03077,I'd like some water. Please wash the cup in front of me and then use a mug to pour a cup of water.,Daily,Hybrid
ai2thor,ai2thor03078,"Please fill the bottle with water, then turn off the kitchen light. I'm leaving.",Daily,Hybrid
ai2thor,ai2thor04000,I want to look up information on my phone. Please pick up the cell phone from the desk in the room.,Work,Hybrid
ai2thor,ai2thor04001,I'm about to wash my pillow. Please help me pick up the pillow from the bed.,Daily,Hybrid
ai2thor,ai2thor04004,Please move the book from the side table next to the window to the desk next to the bed on the right.,Work,Hybrid
ai2thor,ai2thor04005,Please transfer the cellphone from the side table next to the window to the desk by the bed on the right.,Work,Hybrid
ai2thor,ai2thor04006,Please move the pencil from the desk on the right to the side table by the window.,Work,Hybrid
ai2thor,ai2thor04008,Please help me move the mug from the right side desk to side table by the window.,Daily,Hybrid
ai2thor,ai2thor04009,I'd like to read a book. Please open the book on the table to the left and place it on the bed.,Entertain,Hybrid
ai2thor,ai2thor04035,Please put my keychain in the safe.,Daily,Hybrid
ai2thor,ai2thor04036,I'm getting ready for bed. Please put the teddy bear and laptop on the sofa and clean the bed.,Daily,Hybrid
ai2thor,ai2thor04037,I'm going to study now. Please take a pen to the desk on the right and open the book.,Work,Hybrid
ai2thor,ai2thor04038,I'm going on a long trip. Please turn off my phone and put it in the safe. Remember to close the safe door.,Travel,Hybrid
ai2thor,ai2thor04039,I'm sleepy. Please wash the bowl in front of me and then fill it with a cup of coffee.,Daily,Interaction
ai2thor,ai2thor04040,"I'm going to sleep now. Please close the books, and then tidy up the bed.",Daily,Interaction
ai2thor,ai2thor04042,I'm getting ready to leave. Please hold my keychain and turn off all the lights.,Travel,Hybrid
ai2thor,ai2thor04043,"I'd like to use my phone in bed for a while. Please turn it on and place it on the bed, and also clean the bed.",Entertain,Hybrid
ai2thor,ai2thor04044,"I'm going home now, please turn on all the lights in the room.",Daily,Hybrid
ai2thor,ai2thor04045,I'm about to put my watch on; please place it on the chair.,Daily,Hybrid
ai2thor,ai2thor04046,I want to work on my laptop while watching TV. Please enable both.,Entertain,Hybrid
ai2thor,ai2thor04047,Please turn on the TV.,Daily,Hybrid
ai2thor,ai2thor04048,Please place the watering can on the dressing table next to it and fill it with water.,Daily,Hybrid
ai2thor,ai2thor04049,"I don't want to watch TV anymore, please put the remote control in the box.",Daily,Hybrid
ai2thor,ai2thor04050,I don't like the vase and statue on your left. Please smash them both.,Daily,Hybrid
ai2thor,ai2thor04051,I'm going to eat at the dining table now. Please close my laptop and place it on the coffee table.,Daily,Hybrid
ai2thor,ai2thor04052,I need to get a new phone. Please break the phone in front of you and put it in the box on the right.,Daily,Hybrid
ai2thor,ai2thor04053,I want to watch TV. Please pick up the remote and turn on the TV.,Entertain,Hybrid
ai2thor,ai2thor04054,I'm about to leave. Please take my phone and turn off all the lights.,Travel,Hybrid
ai2thor,ai2thor04055,This tissue box is broken; please throw it in the trash can.,Daily,Hybrid
ai2thor,ai2thor04056,I want to sleep now. Please take the pillow and turn off all the lights.,Daily,Hybrid
ai2thor,ai2thor04057,I'd like to read a newspaper. Please bring one to the sofa.,Entertain,Hybrid
ai2thor,ai2thor04058,"I want to work on the sofa, please turn on my laptop.",Work,Hybrid
ai2thor,ai2thor04059,"I want to organize some things, please put the tissue box in the room or in the box.",Daily,Hybrid
ai2thor,ai2thor04061,Please fill my indoor plants with water.,Daily,Hybrid
ai2thor,ai2thor04062,I'd like to read a book on the sofa for a while. Please open the book and place it on the sofa.,Entertain,Hybrid
ai2thor,ai2thor04063,"I don't want the watch anymore, please put it in the box.",Daily,Hybrid
ai2thor,ai2thor04064,I want to go out. Please take my keychain and turn off my laptop and TV.,Travel,Hybrid
ai2thor,ai2thor04065,I want to drink water. Please pick up the bowl and fill it with water.,Daily,Hybrid
ai2thor,ai2thor04066,I'd like to check the news in the newspaper and on TV. Please pick up the newspaper and turn on the TV.,Entertain,Hybrid
ai2thor,ai2thor04067,I'd like to have the bowl and plate cleaned.,Daily,Interaction
ai2thor,ai2thor04068,Please put my keychain in the box.,Daily,Hybrid
ai2thor,ai2thor04069,I want to work now. Please put my laptop on the coffee table and turn it on.,Work,Hybrid
ai2thor,ai2thor04072,I want to sleep. Please turn off the TV and bring a pillow.,Daily,Hybrid
ai2thor,ai2thor04073,Please help me put the remote control and watch into the box.,Daily,Hybrid
ai2thor,ai2thor04100,Please place all the pens on the right desk next to the bed on the table by the windows.,Work,Hybrid
ai2thor,ai2thor04101,I'm getting ready for bed. Please remove my computer and phone from the bed.,Daily,Hybrid
ai2thor,ai2thor04102,I'm getting ready to leave. Please clean my bed and pick up my keychain.,Daily,Hybrid
ai2thor,ai2thor04103,"I need to get ready for work, please turn on the main light in the room.",Work,Hybrid
ai2thor,ai2thor04104,I need to tidy up the room. Please put my credit card and keychain in the box.,Daily,Hybrid
ai2thor,ai2thor04105,"I want entertainment, please turn on all the electronic devices in front of me.",Entertain,Hybrid
ai2thor,ai2thor04106,I'm going to tidy up the room. Please clean up all the dirt in front of me.,Daily,Interaction
ai2thor,ai2thor04107,"I'm getting ready for bed, please put the alarm clock on the desk closest to my bed.",Daily,Hybrid
ai2thor,ai2thor04108,"I want to get up and work, please turn on the computer and open the book",Work,Hybrid
ai2thor,ai2thor04109,I'm getting ready for bed. Please make my bed and turn off the TV.,Daily,Hybrid
ai2thor,ai2thor04110,"I need to get ready to work, please turn on my phone and computer.",Work,Hybrid
ai2thor,ai2thor04112,Put a coffee cup with a pencil on the side table.,Daily,Hybrid
ai2thor,ai2thor04113,Remove the tomato from the fridge and cut it up on the countertop.,Daily,Hybrid
ai2thor,ai2thor04114,"I'm going to start cooking, so I'll put a bowl on the counter.",Daily,Hybrid
ai2thor,ai2thor04115,I need to get ready for work. Please move the coffee from the bedside table to the desk.,Work,Hybrid
ai2thor,ai2thor04116,"I'm hungry, please put the bread slices in the microwave to heat them up.",Daily,Hybrid
ai2thor,ai2thor04117,I need to heat up the knife. Please put one knife in the pot.,Daily,Hybrid
ai2thor,ai2thor04118,I'm getting ready to leave. Please leave my keys on the sofa.,Travel,Hybrid
ai2thor,ai2thor04119,I'm going to clean the house now. Please put my keys and credit card in the box.,Daily,Hybrid
ai2thor,ai2thor04120,"I'm leaving the room, please turn off all the lights.",Daily,Hybrid
ai2thor,ai2thor04220,"I'm a little tired. Please turn my phone on and put it on the bed, and make the bed neatly.",Entertain,Hybrid
ai2thor,ai2thor04221,I want to sleep. Please turn off all the lights in the room.,Daily,Hybrid
ai2thor,ai2thor04222,I need to get ready to work. Please turn on my desk lamp and turn on my computer.,Work,Interaction
ai2thor,ai2thor04223,Both the pencil and pen are broken; please throw them in the trash.,Daily,Hybrid
ai2thor,ai2thor04224,"I'm about to exercise, please pick up this tennisracket for me.",Entertain,Interaction
ai2thor,ai2thor04225,I'm tired and want to read a book in bed. Please open the book and place it on the bed.,Entertain,Hybrid
ai2thor,ai2thor04226,"I have a runny nose, please send a box of tissues to the desk.",Daily,Hybrid
ai2thor,ai2thor04227,I'd like to read a book in the armchair. Please open the book and place it on the armchair.,Entertain,Hybrid
ai2thor,ai2thor04228,"I want to sleep now. Please turn off my phone, then clean the bed.",Daily,Hybrid
ai2thor,ai2thor04229,I'm going to start working now. Please open my laptop and start it.,Work,Interaction
ai2thor,ai2thor04230,"I want to drink water, please fill the mug with water.",Daily,Hybrid
ai2thor,ai2thor04232,I'm going out shopping. Please take my credit card and turn off the light next to the door.,Travel,Hybrid
ai2thor,ai2thor04233,I'd like to work in an armchair; please turn on my cell phone and bring it to the armchair.,Work,Hybrid
ai2thor,ai2thor04234,I'm trapped outside. Please take the keychain and break the window.,Daily,Hybrid
ai2thor,ai2thor04235,My pen is broken. Please throw the pen into the trash can.,Daily,Hybrid
ai2thor,ai2thor04236,I want to clean the dirty mirror. Please clean the mirror.,Daily,Hybrid
ai2thor,ai2thor04238,I want to put on my boots. Please pick up the boots located between the shelf and the dresser.,Travel,Hybrid
ai2thor,ai2thor04239,"Please walk to the window, and if the window is intact, break it.",Daily,Hybrid
ai2thor,ai2thor04240,Please water the houseplant as it is currently empty and lacks water.,Daily,Hybrid
ai2thor,ai2thor04241,I am trapped and need an emergency exit. Please break any window in the room.,Daily,Hybrid
ai2thor,ai2thor04242,I want to start working. Please open the laptop and turn it on.,Work,Interaction
ai2thor,ai2thor04243,"I am tired from reading. Please close the book, then turn off the light switch and the desk lamp.",Daily,Hybrid
ai2thor,ai2thor04500,I'm going to start working now. Please bring me the laptop from the sofa.,Work,Hybrid
ai2thor,ai2thor04501,I'm thirsty. Please fill the mug at the coffee machine and put it on the dining table.,Daily,Hybrid
ai2thor,ai2thor04502,Please pick up the tennis racket located in the aisle between the bed and the wall.,Entertain,Hybrid
ai2thor,ai2thor04503,Please pick up the baseball bat leaning against the table by the door.,Entertain,Hybrid
ai2thor,ai2thor04504,Please pick up the baseball bat leaning against the wall by the table and place it on the bed.,Entertain,Hybrid
ai2thor,ai2thor04505,Please move the soap bottle from the sink next to the faucet to the bathtub next to the faucet.,Daily,Hybrid
ai2thor,ai2thor05001,"Could you help me out by picking up the laptop, turning it on carefully, and holding it securely?",Work,Hybrid
ai2thor,ai2thor05002,Please help me with this task in the scene: open the book and turn off the desk lamp.,Work,Hybrid
ai2thor,ai2thor05003,"I'm checking a couple interactions, so please open the book gently so it stays open and then in the simulation, break the window using the provided interaction.",Work,Hybrid
ai2thor,ai2thor05004,"I want this put away neatly, so please pick up the phone carefully and hold it securely and then place it on the bed and make sure it sits flat and won't slide.",Daily,Hybrid
ai2thor,ai2thor05005,"I want this put away neatly, so please pick up the pen carefully and hold it securely and then place it on the shelf and make sure it sits flat and won't slide.",Daily,Hybrid
ai2thor,ai2thor05006,"I want this put away neatly, so please pick up the credit card carefully and hold it securely and then place it on the side table and make sure it sits flat and won't slide.",Daily,Hybrid
ai2thor,ai2thor05007,"It's time to power down, so please turn off the desk lamp and confirm it's really off and then pick up the book and place it on the bed.",Daily,Hybrid
ai2thor,ai2thor05008,"I want to read and check my phone, so please open the book gently so it stays open and then pick up the cell phone carefully and hold it securely and turn on the cell phone and wait until you can tell it's powered on.",Work,Hybrid
ai2thor,ai2thor05009,"Could you help me out by picking up the cellphone, turning it on carefully, and holding it securely?",Entertain,Hybrid
ai2thor,ai2thor05010,"I need it running, so please turn on the laptop and wait until you can tell it's powered on.",Work,Hybrid
ai2thor,ai2thor05011,"It's not needed right now, so please turn off the desk lamp on the desk and confirm it's really off.",Daily,Hybrid
ai2thor,ai2thor05012,"I'm putting things where they belong, so please pick up the book, carry it over, and set it down on the bed neatly.",Entertain,Hybrid
ai2thor,ai2thor05013,"I need it running, so please turn on the laptop and wait until you can tell it's powered on.",Work,Hybrid
ai2thor,ai2thor05014,Could you help me out by picking up the pencil carefully and holding it securely?,Work,Hybrid
ai2thor,ai2thor05015,Could you help me out by picking up the pen carefully and holding it securely?,Work,Hybrid
ai2thor,ai2thor05016,"I'm putting things where they belong, so please pick up the alarm clock, carry it over, and set it down on the desk neatly.",Daily,Hybrid
ai2thor,ai2thor05017,"I need it running, so please turn on the TV and wait until you can tell it's powered on.",Entertain,Hybrid
ai2thor,ai2thor05021,"I'm putting things where they belong, so please pick up the phone, carry it over, and set it down on the bed neatly.",Daily,Hybrid
ai2thor,ai2thor05022,"I need to tidy up, so please tidy up the bed by clearing any clutter and wiping it until it looks clean and then turn on the laptop and wait until you can tell it's powered on.",Work,Hybrid
ai2thor,ai2thor05023,"I'm cleaning up before I relax, so please tidy up the bed and wiping it until it looks clean, then turn off the desk lamp and confirm it's really off.",Daily,Hybrid
ai2thor,ai2thor05024,"I'm tidying up, so please pick up the book and place it on the nightstand, then tidy up the bed and wiping it until it looks clean.",Daily,Hybrid
ai2thor,ai2thor05025,"I'm taking care of a couple things, so please fill the mug with water until it shows it's filled, then keep it steady and then tidy up the bed and wiping it until it looks clean.",Daily,Hybrid
ai2thor,ai2thor05026,"I'm doing some chores, so please put the laptop on the desk, then tidy up the bed and wiping it until it looks clean.",Work,Hybrid
ai2thor,ai2thor05027,"I'm putting things where they belong, so please pick up the cell phone, carry it over, and set it down on the bed neatly.",Daily,Hybrid
ai2thor,ai2thor05028,Please help me with this task in the scene: toggle the laptop on and clean the bed.,Work,Hybrid
ai2thor,ai2thor05029,"I'm putting things where they belong, so please pick up the alarm clock, carry it over, and set it down on the desk neatly.",Daily,Hybrid
ai2thor,ai2thor05030,"I'm putting things where they belong, so please pick up the book, carry it over, and set it down on the desk neatly.",Work,Hybrid
ai2thor,ai2thor05031,"I'm putting things where they belong, so please pick up the alarm clock, carry it over, and set it down on the desk neatly.",Daily,Hybrid
ai2thor,ai2thor05032,"I'm running a quick test, so please in the simulation, break the mirror using the provided interaction and then fill the mug with water until it shows it's filled, then keep it steady.",Daily,Hybrid
ai2thor,ai2thor05033,"I'm preparing the scene, so please in the simulation, make the mirror dirty so its state changes to 'dirty' and then fill the mug with water until it shows it's filled, then keep it steady.",Daily,Hybrid
ai2thor,ai2thor05034,"I need some help with my electronics. Please turn on the laptop first. Once it's fully booted, power on the cell phone and make sure they both stay on.",Work,Hybrid
ai2thor,ai2thor05035,"I'm running a quick test, so please in the simulation, break the laptop using the provided interaction and then pick up the cell phone carefully and hold it securely.",Daily,Hybrid
ai2thor,ai2thor05037,"I'm testing the scene interactions, so please in the simulation, break the laptop using the provided interaction and then in the simulation, break the cell phone using the provided interaction.",Daily,Hybrid
ai2thor,ai2thor05038,"I'm putting things where they belong, so please pick up the CD, carry it over, and set it down on the dresser neatly.",Daily,Hybrid
ai2thor,ai2thor05039,"I'm putting things where they belong, so please pick up the keychain, carry it over, and set it down on the dresser neatly.",Daily,Hybrid
ai2thor,ai2thor05040,"I'm putting things where they belong, so please pick up the credit card, carry it over, and set it down on the dresser neatly.",Daily,Hybrid
ai2thor,ai2thor05041,"To start the research, please power on the cell phone and open the book for me.",Work,Hybrid
ai2thor,ai2thor05043,"I want the space neat, so please tidy up the bed and wiping it until it looks clean.",Daily,Hybrid
ai2thor,ai2thor05044,"It looks like it needs liquid, so please fill the houseplant with water until it shows it's filled, then keep it steady.",Daily,Hybrid
ai2thor,ai2thor05045,"It looks like it needs liquid, so please fill the bowl with water until it shows it's filled, then keep it steady.",Daily,Hybrid
ai2thor,ai2thor05046,"I'm preparing the scene, so please in the simulation, make the bowl dirty so its state changes to 'dirty'.",Daily,Hybrid
ai2thor,ai2thor05048,"I need to start my remote meeting, so please toggle the laptop on.",Work,Hybrid
ai2thor,ai2thor05049,It's time for my daily exercise; can you pick up the dumbbell from the floor.,Entertain,Interaction
ai2thor,ai2thor05050,"It's time to power down, so please turn off the desk lamp and confirm it's really off and then turn off the light switch and confirm it's really off.",Daily,Hybrid
ai2thor,ai2thor05051,Please help me with this task in the scene: break the vase.,Daily,Hybrid
ai2thor,ai2thor05052,"I want it switched on, so please toggle the TV to the on position and check the room responds.",Entertain,Hybrid
ai2thor,ai2thor05055,I want to play some games. Please switch on the laptop and the television.,Entertain,Hybrid
ai2thor,ai2thor05056,"I want things put away, so please close the box on the table all the way until it looks fully shut.",Daily,Hybrid
ai2thor,ai2thor05057,"I'm going to take a nap on the couch, so switch off the desk lamp right next to it.",Daily,Hybrid
ai2thor,ai2thor05058,"I'm putting things where they belong, so please pick up the box, carry it over, and set it down on the dining table neatly.",Daily,Hybrid
ai2thor,ai2thor05060,We are under a cyberattack. Power on the TV for news and break the laptop immediately so no one can access the data.,Entertain,Hybrid
ai2thor,ai2thor05061,"I'm settling in on the sofa, so please turn on the laptop on the sofa and wait until you can tell it's powered on.",Work,Hybrid
ai2thor,ai2thor05063,"The pot looks a bit dusty, so clean the pot and slice the tomato for the soup.",Daily,Hybrid
ai2thor,ai2thor05064,"I'm planning to make soup, so please fill the pot with water and slice the tomato for me.",Daily,Hybrid
ai2thor,ai2thor05065,"I'm about to start cooking, could you please pick up a potato for me?",Daily,Hybrid
ai2thor,ai2thor05066,"I'm ready to start the stew, so please pick up the pot for me.",Daily,Hybrid
ai2thor,ai2thor05068,"I'm hungry, so please slice the bread as instructed and keep the pieces together and then pick up one piece.",Daily,Hybrid
ai2thor,ai2thor05069,"I'm putting things where they belong, so please pick up the tomato, carry it over, and set it down on the dining table neatly.",Daily,Hybrid
ai2thor,ai2thor05070,"The soup is a bit bland, please move the salt shaker to the dining table.",Daily,Hybrid
ai2thor,ai2thor05071,"Dinner is served, so please move the ladle to the dining table.",Daily,Hybrid
ai2thor,ai2thor05072,I'm making a fresh summer salad; please slice the lettuce and the apple for me.,Daily,Hybrid
ai2thor,ai2thor05073,"My lunch has gotten cold, so please turn on the microwave to warm it up.",Daily,Hybrid
ai2thor,ai2thor05074,"I'm getting ready to eat, so please slice the apple as instructed and keep the pieces together and then slice the bread as instructed and keep the pieces together.",Daily,Hybrid
ai2thor,ai2thor05075,"I need it running, so please turn on the faucet.",Daily,Hybrid
ai2thor,ai2thor05076,"I'm about to cook, so please slice the lettuce as instructed and keep the pieces together.",Daily,Hybrid
ai2thor,ai2thor05077,Please help me with this task in the scene: break the plate.,Daily,Hybrid
ai2thor,ai2thor05078,We need to make soup for dinner; can you fill the pot with water?,Daily,Hybrid
ai2thor,ai2thor05079,"I'm starting breakfast now, so please turn on the coffee machine for me.",Daily,Hybrid
ai2thor,ai2thor05080,I'm feeling a bit sleepy; could you fill the cup with coffee to help me wake up?,Daily,Hybrid
ai2thor,ai2thor05501,"I want to exercise now, could you please hand me the tennis racket on the floor near the table?",Entertain,Hybrid
ai2thor,ai2thor05505,I see a tennis racket—could you pick it up for me? I'm ready to get a good workout in,Entertain,Hybrid
ai2thor,ai2thor05506,I want to combine my workout with some housework—could you pick up the tennis racket in the corner and give the bed a quick clean?,Entertain,Hybrid
ai2thor,ai2thor05508,"It's such a lovely day; I feel like tidying up my bed. First I'll pick up my pillow, then give the whole bed a good clean—so I can sleep nice and sound tonight.",Daily,Hybrid
ai2thor,ai2thor05509,I'd like to take a nap. Could you tidy the bed and turn off the wall light for me? Thank you.,Daily,Hybrid
ai2thor,ai2thor05510,"I have something really important tomorrow, and I'm afraid I won't hear the alarm—could you please move the alarm clock from the desk to my side table? Thanks!",Daily,Hybrid
ai2thor,ai2thor05511,I'm so tired tonight that I want to go to bed early—could you please turn off the lights in the room? The switch is right by the door. Thanks!,Daily,Hybrid
ai2thor,ai2thor05512,"I'd like to read the book on my desk before bed. Please tidy up the bed first, then bring the book and place it on the bed for me.",Entertain,Hybrid
ai2thor,ai2thor05513,I'm getting a little sleepy and want to go play on my phone in bed. I need to take my phone from the table to the bed,Entertain,Hybrid
ai2thor,ai2thor05514,My pencil is broken and I want to throw it away. Could you help me drop it from the table into the trash can?,Daily,Hybrid
ai2thor,ai2thor05515,I feel like taking a break; I'm going to pick up my phone from the desk and turn on the TV so I can really unwind,Entertain,Hybrid
ai2thor,ai2thor05516,I have ended my friendship and I no longer want the pencil or the fountain pen he gave me. I have already thrown the pencil into the trash. Could you throw the fountain pen into the trash for me?,Daily,Hybrid
ai2thor,ai2thor05517,"I just woke up and I’m ready to get to work—you help me tidy the bed first, then use the laptop to start working and get it booted up.",Work,Hybrid
ai2thor,ai2thor05518,I want to take a proper break. Please pour me a glass of water and then turn on my phone—I’d like to play a game for a bit.,Entertain,Interaction
